trackName,country,collectionPrice,trackPrice,collectionHdPrice,releaseDate,trackExplicitness,genres,contentAdvisoryRating,trackCount,isStreamable
A Year With The Beatles,USA,0.0,0.0,0.0,2017-10-21,cleaned,"['Music', 'Podcasts']",Clean,19,False
When They Was Fab: Electric Arguments About the Beatles,USA,0.0,0.0,0.0,2025-11-24,cleaned,"['Music History', 'Podcasts', 'Music']",Clean,263,False
The Beatles: Album By Album,USA,0.0,0.0,0.0,2021-07-16,explicit,"['Music History', 'Podcasts', 'Music']",Explicit,1,False
Thank God for the Beatles!,USA,0.0,0.0,0.0,2023-11-26,cleaned,"['Music Commentary', 'Podcasts', 'Music']",Clean,14,False
Tea Time with The Beatles Fans,USA,0.0,0.0,0.0,2022-03-21,cleaned,"['Music', 'Podcasts']",Clean,13,False
The Beatles...The Hidden Truth.,USA,0.0,0.0,0.0,2023-09-25,explicit,"['Performing Arts', 'Podcasts', 'Arts']",Explicit,6,False
The Beatles,USA,0.0,0.0,0.0,2021-05-08,cleaned,"['Music History', 'Podcasts', 'Music']",Clean,3,False
Beatles60,USA,0.0,0.0,0.0,2025-05-04,explicit,"['Music History', 'Podcasts', 'Music']",Explicit,37,False
Your Own Personal Beatles,USA,0.0,0.0,0.0,2025-11-19,cleaned,"['Music', 'Podcasts', 'Comedy']",Clean,74,False
The Beatles - First Time South,USA,0.0,0.0,0.0,2023-11-09,cleaned,"['Music History', 'Podcasts', 'Music', 'Music Interviews']",Clean,1,False
The Beatles - Audio Biography,USA,0.0,0.0,0.0,2024-02-24,cleaned,"['Arts', 'Podcasts', 'Business', 'Careers']",Clean,1,False
Becoming The Beatles - Die Hamburger Jahre,USA,0.0,0.0,0.0,2025-07-29,cleaned,"['Music History', 'Podcasts', 'Music']",Clean,9,False
The Beatles Come To America,USA,0.0,0.0,0.0,2025-11-01,cleaned,"['Music Commentary', 'Podcasts', 'Music']",Clean,58,False
Why The Beatles Matter,USA,0.0,0.0,0.0,2025-02-23,cleaned,"['Music', 'Podcasts']",Clean,10,False
The Beatles Stuffology Podcast,USA,0.0,0.0,0.0,2025-11-26,explicit,"['Music Commentary', 'Podcasts', 'Music']",Explicit,105,False
The Spiritual Dimension of the Beatles,USA,0.0,0.0,0.0,2025-04-11,cleaned,"['Spirituality', 'Podcasts', 'Religion & Spirituality', 'Music', 'Music Commentary']",Clean,7,False
Without the Beatles,USA,0.0,0.0,0.0,2025-11-12,cleaned,"['Arts', 'Podcasts', 'Music', 'Music Interviews']",Clean,14,False
The Beatles,USA,0.0,0.0,0.0,2020-10-28,cleaned,"['Music Commentary', 'Podcasts', 'Music']",Clean,1,False
All the Beatles songs,USA,0.0,0.0,0.0,2025-03-14,cleaned,"['Music Commentary', 'Podcasts', 'Music']",Clean,25,False
The Beatles' Legacy: Red and Blue,USA,0.0,0.0,0.0,2023-11-09,cleaned,"['Music History', 'Podcasts', 'Music']",Clean,1,False
Beatles60,USA,0.0,0.0,0.0,2025-05-04,explicit,"['Music History', 'Podcasts', 'Music']",Explicit,37,False
The Beatles: They Came to a Land Downunder,USA,0.0,0.0,0.0,2024-08-22,cleaned,"['Music History', 'Podcasts', 'Music']",Clean,12,False
Elsker The Beatles,USA,0.0,0.0,0.0,2025-11-15,cleaned,"['Music Commentary', 'Podcasts', 'Music', 'Music History']",Clean,158,False
The Beatles World Cup,USA,0.0,0.0,0.0,2023-05-03,cleaned,"['Music Commentary', 'Podcasts', 'Music']",Clean,59,False
Un Día En La Vida (The Beatles Podcast),USA,0.0,0.0,0.0,2020-10-30,explicit,"['Music Commentary', 'Podcasts', 'Music']",Explicit,5,False
The Beatles' English,USA,0.0,0.0,0.0,2023-12-06,cleaned,"['Language Learning', 'Podcasts', 'Education', 'Arts', 'Performing Arts']",Clean,12,False
Buskin with The Beatles,USA,0.0,0.0,0.0,2025-11-21,cleaned,"['Music History', 'Podcasts', 'Music', 'Arts', 'Performing Arts']",Clean,100,False
"Bringin' It Back to...""The Beatles""",USA,0.0,0.0,0.0,2023-10-07,cleaned,"['Music Interviews', 'Podcasts', 'Music']",Clean,17,False
Justin Hawkins Rides Again,USA,0.0,0.0,0.0,2024-02-06,cleaned,"['Music Commentary', 'Podcasts', 'Music']",Clean,36,False
